"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JSON", "XML", "HTML", "pyscript", "comment", "blank", "total"
"c:\Dev\PKD_Project\Cloud-based-file-manager\.eslintrc.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Dev\PKD_Project\Cloud-based-file-manager\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Dev\PKD_Project\Cloud-based-file-manager\forge.config.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 3, 60
"c:\Dev\PKD_Project\Cloud-based-file-manager\forge.env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Dev\PKD_Project\Cloud-based-file-manager\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Dev\PKD_Project\Cloud-based-file-manager\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 12899, 0, 0, 0, 0, 1, 12900
"c:\Dev\PKD_Project\Cloud-based-file-manager\package.json", "JSON", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"c:\Dev\PKD_Project\Cloud-based-file-manager\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Dev\PKD_Project\Cloud-based-file-manager\public\devicon_google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\Main\LocalDirectory_finder.ts", "TypeScript", 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 33, 48, 418
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\Main\main.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 18, 22, 172
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\Main\save-handler-separate-files.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 17, 35, 193
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\Main\save-handler.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 17, 20, 104
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\Main\supabase-admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\App.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 7, 5, 54
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\CloudSave.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 11, 44, 196
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\CloudSelectPage.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 19, 30, 176
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameIcon.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22, 4, 52
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameSaveSelect.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 3, 26, 128
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GameSelectPage.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 19, 18, 142
"c:\Dev\PKD_Project\Cloud-based-file-manager\src\components\GoogleButton.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
