"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "pyscript", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\HexGameCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 3, 5, 31
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\Homescreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 8, 7, 58
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\Profile_icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 1, 4, 40
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\UploadGameSave.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 1, 3, 25
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\authflow\authProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 4, 6, 75
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\authflow\buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 5, 46
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\authflow\file_management\buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\authflow\login-screen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\authflow\supabase-vite.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Dev\VScode\CloudBasedManager-Stable\src\components\steamgameslist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Dev\VScode\CloudBasedManager-Stable\src\hooks\useAuth.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Dev\VScode\CloudBasedManager-Stable\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Dev\VScode\CloudBasedManager-Stable\src\preload.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Dev\VScode\CloudBasedManager-Stable\src\renderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 5, 5, 25
"c:\Dev\VScode\CloudBasedManager-Stable\src\types.d.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 1, 6, 63
"c:\Dev\VScode\CloudBasedManager-Stable\tailwind.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Dev\VScode\CloudBasedManager-Stable\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Dev\VScode\CloudBasedManager-Stable\vite.main.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Dev\VScode\CloudBasedManager-Stable\vite.preload.config.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Dev\VScode\CloudBasedManager-Stable\vite.renderer.config.mjs", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"Total", "-", 38, 676, 38, 12895, 11, 436, 3, 3, 168, 202, 14470
